Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","40000.412","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2021","2021","1000 No","20186.456","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2021","2021","1000 No","19813.956","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","28674.023","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","10239.684","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","40578.842","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2022","2022","1000 No","20475.675","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2022","2022","1000 No","20103.167","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2022","2022","1000 No","29191.512","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2022","2022","1000 No","10587.583","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","41454.761","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2023","2023","1000 No","20924.078","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2023","2023","1000 No","20530.683","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2023","2023","1000 No","29701.149","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2023","2023","1000 No","10948.055","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 No","37213.984","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 No","18343.798","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 No","18870.186","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 No","4023.693","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 No","33033.759","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 No","37624.825","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 No","18547.83","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 No","19076.996","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 No","3998.739","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 No","33472.77","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 No","38029.349","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 No","18747.966","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 No","19281.383","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 No","3974.741","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 No","33914.629","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 No","38424.282","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2003","2003","1000 No","18943.79","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2003","2003","1000 No","19480.492","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2003","2003","1000 No","3951.197","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 No","34358.182","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 No","38815.916","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2004","2004","1000 No","19139.877","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2004","2004","1000 No","19676.038","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2004","2004","1000 No","3927.028","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2004","2004","1000 No","34801.668","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 No","39216.789","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2005","2005","1000 No","19341.994","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2005","2005","1000 No","19874.796","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2005","2005","1000 No","3902.354","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2005","2005","1000 No","35243.134","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 No","39622.115","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2006","2006","1000 No","19547.82","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2006","2006","1000 No","20074.296","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2006","2006","1000 No","3876.846","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2006","2006","1000 No","35682.044","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2007","2007","1000 No","40016.763","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2007","2007","1000 No","19750.275","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2007","2007","1000 No","20266.488","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2007","2007","1000 No","3850.764","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2007","2007","1000 No","36119.46","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 No","40424.148","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2008","2008","1000 No","19959.757","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2008","2008","1000 No","20464.391","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2008","2008","1000 No","3824.321","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2008","2008","1000 No","36558.068","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 No","40854.831","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2009","2009","1000 No","20181.322","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2009","2009","1000 No","20673.508","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2009","2009","1000 No","3798.178","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2009","2009","1000 No","37001.229","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","41288.694","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 No","20404.978","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 No","20883.716","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 No","3772.3","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 No","37451.589","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","41730.66","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 No","20631.65","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 No","21099.01","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 No","3753.49","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 No","37903.389","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","42161.721","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 No","20854.403","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 No","21307.319","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 No","3737.979","X","Figure from international organizations",""
